activity,spot_type,spot_date
Senior research software engineer recruitment and onboarding,T,3
Complete primarycensored integration,S,3
Establish GitHub organization with CI infrastructure,S,6
Developer onboarding workshop,W,9
Implement governance structure with documentation,T,12
Complete independent reporting module,S,15
Complete scoringutils format implementation,S,18
User training workshop,W,21
Document governance processes and frameworks,T,21
Measure outcomes and complete paper,P,24
Assess progress against baseline metrics,T,24
